Title,Author,Type,Year,URL,Related orgs,AI-generated summary,Policy Efforts
A Guide to the AI Tribes,Michel Justen,Blog/Substack,2026,,,,
The Left is Missing Out on AI,Dan Kagan-Kans,Blog/Substack,2026,,,,
AI 2027 scenario,AI 2027 team,Report,2025,,,,
AI as Normal Technology,Narayanan & Kapoor,Paper,2025,,,,
Dignity in a Digital Age,Ro Khanna,Book,2022,,,,
The Entrepreneurial State,Mariana Mazzucato,Book,2013,,,,
Power and Progress,Acemoglu & Johnson,Book,2023,,,,
Recoding America,Jennifer Pahlka,Book,2023,,,,
Governing the Commons,Elinor Ostrom,Book,1990,,,,
Technology Adolescence,Dario Amodei,Blog/Substack,2026,,,,
Techno-Optimist Manifesto,Marc Andreessen,Blog/Substack,2023,,,,
The Internet Con,Cory Doctorow,Book,2023,,,,
Chip War,Chris Miller,Book,2022,,,,
Secure AI Project bills tracker,Secure AI Project,Report,2026,,,,
"Dean Ball ""How I Approach AI Policy""",Dean Ball,Blog/Substack,2025,,,,
Digitalist Papers Vol. 2,Sandy Pentland et al.,Report,2025,,,,
