Name,Title,Primary org,Other orgs,Role type,Twitter/X,Location,Connector score,Contact status,Contact owner,Priority,Notes,Linked policy efforts,AI profile summary
Ro Khanna,"U.S. Representative, CA",,,Policymaker,,,,,,,,,
Bernie Sanders,"U.S. Senator, VT",,,Policymaker,,,,,,,,,
Alexandria Ocasio-Cortez,"U.S. Representative, NY",,,Policymaker,,,,,,,,,
Saikat Chakrabarti,"Founder, New Consensus; fmr AOC Chief of Staff",,,Policymaker,,,,,,,,,
Pete Buttigieg,fmr Secretary of Transportation,,,Policymaker,,,,,,,,,
Chris Murphy,"U.S. Senator, CT",,,Policymaker,,,,,,,,,
Brian Schatz,"U.S. Senator, HI",,,Policymaker,,,,,,,,,
Marsha Blackburn,"U.S. Senator, TN",,,Policymaker,,,,,,,,,
Alex Bores,NY State Assemblymember,,,Policymaker,,,,,,,,,
David Sacks,White House AI/crypto czar,,,Policymaker,,,,,,,,,
David Evan Harris,co-author CA AI bill,,,Policymaker,,,,,,,,,
Tom Kalil,policy advisor,,,Policymaker,,,,,,,,,
Brian Deese,fmr NEC Director,,,Policymaker,,,,,,,,,
Ben Reinhardt,fmr govt innovation,,,Policymaker,,,,,,,,,
Bruce Reed,"Head of AI, Common Sense Media",,,Policymaker,,,,,,,,,
Jeffrey Kessler,"Under Secretary, Commerce Dept",,,Policymaker,,,,,,,,,
Sam Altman,"CEO, OpenAI",,,Executive,,,,,,,,,
Dario Amodei,"CEO, Anthropic",,,Executive,,,,,,,,,
Demis Hassabis,"CEO, Google DeepMind",,,Executive,,,,,,,,,
Mark Zuckerberg,"CEO, Meta",,,Executive,,,,,,,,,
Elon Musk,"Founder, xAI",,,Executive,,,,,,,,,
Liang Wenfeng,"CEO, DeepSeek",,,Executive,,,,,,,,,
Daniela Amodei,"President, Anthropic",,,Executive,,,,,,,,,
Mike Krieger,"CPO, Anthropic",,,Executive,,,,,,,,,
Jared Kaplan,"CSO, Anthropic",,,Researcher,,,,,,,,,
Jakub Pachocki,"Chief Scientist, OpenAI",,,Researcher,,,,,,,,,
Joanne Jang,"Head of Model Behavior, OpenAI",,,Researcher,,,,,,,,,
Chris Lehane,"Chief Global Affairs, OpenAI",,,Executive,,,,,,,,,
Kyle Fish,"Model Welfare Lead, Anthropic",,,Researcher,,,,,,,,,
Josh Woodward,VP Google Labs,,,Executive,,,,,,,,,
Daron Acemoglu,MIT Economics,,,Academic,,,,,,,,,
Simon Johnson,MIT Sloan,,,Academic,,,,,,,,,
Ganesh Sitaraman,Vanderbilt Law,,,Academic,,,,,,,,,
Erik Brynjolfsson,Stanford HAI,,,Academic,,,,,,,,,
Mariana Mazzucato,UCL IIPP,,,Academic,,,,,,,,,
Jennifer Pahlka,"fmr USDS, author Recoding America",,,Academic,,,,,,,,,
Lawrence Lessig,Harvard Law,,,Academic,,,,,,,,,
Tim Wu,Columbia Law,,,Academic,,,,,,,,,
Fei-Fei Li,Stanford HAI / World Labs,,,Academic,,,,,,,,,
Yoshua Bengio,LawZero,,,Academic,,,,,,,,,
Stuart Russell,Berkeley / IASEA,,,Academic,,,,,,,,,
Yejin Choi,Stanford HAI,,,Academic,,,,,,,,,
Regina Barzilay,MIT,,,Academic,,,,,,,,,
Anton Korinek,UVA,,,Academic,,,,,,,,,
Latanya Sweeney,Harvard,,,Academic,,,,,,,,,
Arvind Narayanan,Princeton,,,Academic,,,,,,,,,
Sayash Kapoor,Princeton,,,Academic,,,,,,,,,
Daniel Ho,Stanford RegLab,,,Academic,,,,,,,,,
Sandy Pentland,MIT,,,Academic,,,,,,,,,
Paul Christiano,"fmr Head of Safety, NIST CAISI",,,Researcher,,,,,,,,,
Daniel Kokotajlo,independent AI researcher,,,Researcher,,,,,,,,,
Marius Hobbhahn,"CEO, Apollo Research",,,Researcher,,,,,,,,,
Holden Karnofsky,"Anthropic, fmr Open Phil",,,Researcher,,,,,,,,,
Heidy Khlaaf,"Chief AI Scientist, AI Now",,,Researcher,,,,,,,,,
Marc Andreessen,a16z,,,Investor,,,,,,,,,
Peter Thiel,Founders Fund,,,Investor,,,,,,,,,
Dustin Moskovitz,Coefficient Giving,,,Investor,,,,,,,,,
Joshua Kushner,Thrive Capital,,,Investor,,,,,,,,,
Duncan Crabtree-Ireland,"Exec Director, SAG-AFTRA",,,Organizer,,,,,,,,,
Randi Weingarten,"President, AFT",,,Organizer,,,,,,,,,
Ed Newton-Rex,"CEO, Fairly Trained",,,Organizer,,,,,,,,,
Milagros Miceli,"Founder, Data Workers' Inquiry",,,Organizer,,,,,,,,,
Elliston Berry,Activist against AI harms,,,Organizer,,,,,,,,,
Ezra Klein,NYT,,,Journalist,,,,,,,,,
Karen Hao,author,,,Journalist,,,,,,,,,
Dan Wang,writer,,,Journalist,,,,,,,,,
Michel Justen,Tarbell Center,,,Journalist,,,,,,,,,
Dan Kagan-Kans,writer (Transformer),,,Journalist,,,,,,,,,
Joi Ito,,,,Investor,,,,,,,,,
Kim Stanley Robinson,,,,Cultural figure,,,,,,,,,
Martin Heinrich,"U.S. Senator, NM",,,Policymaker,,,,,,,,,
Mike Rounds,"U.S. Senator, SD",,,Policymaker,,,,,,,,,
Chuck Schumer,"U.S. Senator, NY; Senate Minority Leader",,,Policymaker,,,,,,,,,
Todd Young,"U.S. Senator, IN",,,Policymaker,,,,,,,,,
Cory Booker,"U.S. Senator, NJ",,,Policymaker,,,,,,,,,
Mike Braun,"Governor of Indiana; fmr U.S. Senator, IN",,,Policymaker,,,,,,,,,
Chris Coons,"U.S. Senator, DE",,,Policymaker,,,,,,,,,
Joni Ernst,"U.S. Senator, IA",,,Policymaker,,,,,,,,,
Maggie Hassan,"U.S. Senator, NH",,,Policymaker,,,,,,,,,
John Hickenlooper,"U.S. Senator, CO",,,Policymaker,,,,,,,,,
Jon Husted,"Lt. Governor, OH; fmr U.S. Senator",,,,,,,,,,,,
Ben Ray Luján,"U.S. Senator, NM",,,,,,,,,,,,
Cynthia Lummis,"U.S. Senator, WY",,,,,,,,,,,,
Gary Peters,"U.S. Senator, MI",,,,,,,,,,,,
Jacky Rosen,"U.S. Senator, NV",,,,,,,,,,,,
Brian Schatz,"U.S. Senator, HI",,,,,,,,,,,,
Maria Cantwell,"U.S. Senator, WA",,,,,,,,,,,,
Ted Cruz,"U.S. Senator, TX",,,,,,,,,,,,
Jerry Moran,"U.S. Senator, KS",,,,,,,,,,,,
Marsha Blackburn,"U.S. Senator, TN",,,,,,,,,,,,
Frank Lucas,"U.S. Representative, OK",,,,,,,,,,,,
Zoe Lofgren,"U.S. Representative, CA",,,,,,,,,,,,
Mark Warner,"U.S. Senator, VA",,,,,,,,,,,,
Ted Lieu,"U.S. Representative, CA",,,,,,,,,,,,
Richard Blumenthal,"U.S. Senator, CT",,,,,,,,,,,,
Ed Markey,"U.S. Senator, MA",,,,,,,,,,,,
Suhas Subramanyam,"U.S. Representative, VA",,,,,,,,,,,,
Don Beyer,"U.S. Representative, VA",,,,,,,,,,,,
Michael McCaul,"U.S. Representative, TX",,,,,,,,,,,,
Jay Obernolte,"U.S. Representative, CA",,,,,,,,,,,,
Anna Eshoo,"fmr U.S. Representative, CA",,,,,,,,,,,,
David Sacks,White House AI & Crypto Czar,,,,,,,,,,,,
Michael Kratsios,OSTP Director and Science Advisor to the President,,,,,,,,,,,,
Lynne Parker,Counselor to the OSTP Director; Executive Director of PCAST,,,,,,,,,,,,
Sriram Krishnan,"Senior Policy Advisor for AI, OSTP",,,,,,,,,,,,
Alondra Nelson,"Acting OSTP Director (Biden Admin); Professor, IAS Princeton",,,,,,,,,,,,
Arati Prabhakar,OSTP Director (Biden Admin); fmr DARPA/NIST Director,,,,,,,,,,,,
Suresh Venkatasubramanian,"Director, Center for Tech Responsibility, Brown University",,,,,,,,,,,,
Bruce Reed,"Deputy Chief of Staff, White House",,,,,,,,,,"Biden's Deputy Chief of Staff, chaired the White House AI Council that coordinated the 100+ actions in EO 14110. Not an AI expert but the operational driver inside the Biden White House.",,
Gavin Newsom,"Governor, CA",,,,,,,,,,,,
Jared Polis,"Governor, CO",,,,,,,,,,,,
Greg Abbott,"Governor, TX",,,,,,,,,,,,
Kathy Hochul,"Governor, NY",,,,,,,,,,,,
Scott Wiener,CA State Senator,,,,,,,,,,,,
