row_num,funder,recipient,amount_usd,citation
1061,Department of Energy,seven FIRE collaborative teams,128000000.00,DOE is announcing $128 million for the Fusion Innovative Research Engine (FIRE) collaboratives. The funding was awarded to seven teams that are focused on creating a fusion energy science and technology innovation ecosystem.
1062,Department of Energy,"small and medium-sized manufacturers and their National Laboratory, university, and non-profit partners",10000000.00,"The Department of Energy (DOE) has announced that over $10 million is available for the High-Performance Computing for Manufacturing (HPC4Mfg) program, part of the High Performance Computing for Energy Innovation initiative."
1063,Department of Homeland Security,Center for Internet Security,27000000.00,This marks the end of a $27 million annual federal investment that many in the cybersecurity community say has been essential.
1064,Department of Homeland Security,"K-12 schools, colleges, nonprofits, public agencies, and other organizations","","These grants can also be used to support K-12 schools, colleges, nonprofits, public agencies, and other organizations responsible for keeping people safe."
1065,Department of Homeland Security,Ohio faith-based and nonprofit institutions,2400000.00,"U.S. Senator Rob Portman (R-OH), Ranking Member of the Senate Homeland Security and Governmental Affairs Committee, announced that the Department of Homeland Security's Nonprofit Security Grant Program (NSGP), will distribute up to $2.4 million to synagogues, churches, religious education facilities"
1066,Department of Homeland Security,faith-based groups and others,454500000.00,"This includes $454.5 million in funding for the Nonprofit Security Grant Program, an increase of $149.5 million from FY 2023, which will provide critical funding for faith-based groups and others to prevent and protect"
1067,Department of Homeland Security,organizations,724000000.00,"Today, the Department of Homeland Security announced final allocations of nearly $724 million in six Fiscal Year (FY) 2024 competitive preparedness grant programs."
1068,Department of Homeland Security,state and local entities,279900000.00,"Today, the Department of Homeland Security announced the availability of $279.9 million in grant funding for the Fiscal Year (FY) 2024 State and Local Cybersecurity Grant Program"
1069,Department of Justice,community-led violence intervention programs,270000000.00,This initiative has now awarded more than $270 million to support community-led violence intervention programs and related training
1070,Department of Justice,"state, local, and territorial prosecuting agencies",300000000.00,"The Justice Department today announced the availability of $300 million in funding to prevent and prosecute fraud and other crimes nationwide. The new Special Attorneys Program notice of funding opportunity will support state, local, Tribal, and territorial prosecuting agencies in designating qualif"
1071,Department of Justice,states and territories and local and Tribal communities,4000000000.00,"The Justice Department announced today that it is awarding $4 billion to support public safety and community justice activities in the states and territories and in local and Tribal communities. The grants, from the Department's Office of Justice Programs (OJP), will fund efforts across the country "
1072,Department of Transportation,Nebraska Department of Transportation,21172718.00,"Today, U.S. Senator Pete Ricketts (R-NE) announced $21,172,718 in federal funding he helped to secure for the Nebraska Department of Transportation (NDOT) to reconstruct approximately 9 miles of Interstate 80 between Odessa and Kearney, Nebraska."
1073,Deutsche Forschungsgemeinschaft,Philipp Hennig,"","Förderung seit 2021, Projektkennung Deutsche Forschungsgemeinschaft (DFG) - Projektnummer 463889763"
1074,Diane B Wilsey,Eric Schmitt,5800.00,"Diane B Wilsey A Wilsey Properties • 3 contributions · 5,800 USD (Oct 14 '21)"
1075,Diane B Wilsey,Joni Ernst,36000.00,"Diane B Wilsey A Wilsey Properties • 5 contributions · 36,000 USD (Mar 21 '19→Nov 4 '21)"
1076,Didier Elzinga,Dovetail,63000000.00,"We're thrilled to announce that we've raised a $63M USD Series A led by Rich Wong and Arun Mathew at Accel, along with our existing investors Blackbird, Felicis Ventures, Grok Ventures, and Didier Elzinga from Culture Amp."
1077,Didier Elzinga,Dovetail,5000000.00,"The round was led by Felicis Ventures, with participation from Blackbird Ventures, Grok Ventures and Didier Elzinga, CEO of Culture Amp."
1078,Dieter Schwarz Foundation,Stanford Digital Economy Lab,"",The Lab could not be more grateful for the support we've received. Foundations & Philanthropies... Dieter Schwarz Foundation
1079,Digital Research Alliance of Canada,McGill University,19350000.00,"George Ross, CEO of the Digital Research Alliance of Canada, was joined by Dr. Luc Vinet, Alliance Board Director and Professor of Physics at the Université de Montréal, to announce funding of $19,350,000 in advanced research computing infrastructure to McGill University."
1080,Digital Research Alliance of Canada,University of Toronto,42500000.00,"State-of-the-art artificial intelligence infrastructure at the University of Toronto will receive $42.5 million in federal funding to support Canadian researchers who are advancing health care, fundamental science, engineering and the humanities, among other fields."
1081,Digital Trust Foundation,Virginia Eubanks,"","Virginia Eubanks, National Fellow, spent her fellowship year pursuing a three-year research study into digital privacy, economic inequality and data-based discrimination. Funded by the Digital Trust Foundation, this project engages a team of grassroots organizations"
1082,Dina and George Perry,Brookings Institution,2000000.00,"Cash, Contracts, and In-Kind Contributions July 1, 2020 –June 30, 2021 ### $2,000,000 and Above Dina and George Perry"
1083,"Directv Group, Inc. Fund - Federal (Directv PAC)",Steve Scalise,10000.00,"Directv Group, Inc. Fund - Federal (Directv PAC) • Donation/Grant · 10,000 USD ('15→'16)"
1084,Distributed Global,Tools for Humanity,"","Worldcoin has raised $115 million in a Series C funding round led by Blockchain Capital, with contributions from a16z crypto, Bain Capital Crypto, and Distributed Global."
1085,Dolby family,University of Cambridge,109650000.00,"The Ray Dolby Centre has been made possible through the generosity of the Dolby family, who donated £85millions to Cambridge to help reimagine the possibilities of physics now and develop a new Cavendish Laboratory for the 21st century."
1086,Dominion Energy,Lawyers' Committee for Civil Rights Under Law,1000000.00,"Dominion Energy (NYSE: D), together with the company's charitable foundation, will contribute $1 million to the Lawyers' Committee for Civil Rights Under Law, a national civil rights organization with the mission to secure equal justice for all through the rule of law."
1087,Donald Trump,Florida Republican Party,100000.00,"In addition to the $25,000 payment to Bondi's And Justice For All PAC, Donald Trump also gave $100,000 to the Florida Republican Party - by far Bondi's largest donor - in 2013."
1088,Donors via Every.org,Alignment Ecosystem Development,13965.00,"Raised $13,965 Next milestone$15,000 AED has a strong track record of supporting the creation, ongoing maintenance and improvement of various AI safety field-building projects."
1089,Doubleday,Brian Christian,"","Mr. Christian, who graduated from Brown University in 2006 with a dual degree in computer science and philosophy of mind and has since received an MFA in poetry, has written essays in literary magazines such as AGNI as well as scientific papers in journals like Cognitive Science. He will be edited a"
1090,Dr James Martin,Oxford Martin School,100000000.00,"Dr Martin made the $50m pledge on top of an original donation made in 2005, to set up the James Martin 21st Century School with an endowment of $100m."
1091,Dr Li Ka-shing,Singapore Management University,19500000.00,"Dr Li Ka-shing, global entrepreneur and philanthropist, and his Hutchison Whampoa Group, have committed to donating S$19.5 million to the Singapore Management University (SMU), in the largest ever donation to a Singapore tertiary institution."
1092,Dr Lillyn Teh,Singapore Management University,15000000.00,Educational advocate and philanthropist Dr Lillyn Teh has contributed an additional S$15 million to Singapore Management University (SMU) to strengthen the development of future-ready talent at the intersection of technology and business.
1093,Dragoneer,Anthropic,30000000000.00,"Last month, for example, the San Francisco-based firm made its first direct investment in Anthropic. Founders Fund, along with D. E. Shaw Ventures, Dragoneer, ICONIQ, and MGX, co-led a$30 billion investment into the AI company at a"
1094,Dreamery Foundation,Centre for Future Generations,"","Our seed funding came from the Dreamery Foundation, as part of co-founder Steven Schuurman's extensive history in philanthropic giving in Europe, and Tanka Foundation. This funding covers baseline costs for our first five years."
1095,Durable Capital Partners LP,KoBold Metals,537000000.00,"KoBold Metals, a US company backed by Bill Gates, raised $537 million in equity funding to boost exploration of minerals critical to the energy transition. The funding round valued KoBold at $2.96 billion, the company said in a statement. It was led by new investor Durable Capital Partners LP and a "
1096,Dustin Moskovitz and Cari Tuna,Future of Life Institute,1000000.00,"A decade ago, the billionaire couple—Tuna, 40, and Facebook co-founder Moskovitz, 41—donated $1 million to California-based non-profit Future of Life Institute to help reduce AI risk."
1097,Dustin Moskovitz and Cari Tuna,OpenAI,30000000.00,"Then they poured $30 million into OpenAI's non-profit in 2017 through their foundation, and Moskovitz invested in Anthropic's $124 million funding round in 2021"
1098,Dutch Postcode Lottery,Human Rights Watch,900000.00,"The Postcode Lottery, the largest charity lottery in the Netherlands, has supported Human Rights Watch since 2009. This is an addition to the Postcode Lottery's five-year grant with an annual gift of 900,000 Euro to general support."
1099,Dwight and Dian Diercks,Mayo Clinic,20000000.00,"A generous $20 million gift from Dwight and Dian Diercks will fuel key elements of Mayo Clinic's vision for the future of healthcare, including Mayo Clinic Platform and the application of artificial intelligence (AI) for early detection and intervention in cancer."
1100,EA donors,GiveWiki,614401.00,"Some 50 donors with a total donation budget of $614,401 want to use it to inform their giving."
1101,EAIF,Centre for Enabling EA Learning & Research (CEEALAR),"",And now we've been granted an additional full year of funding from EAIF.
1102,ENS,Centre pour la Sécurité de l'IA (CeSIA),"","Our activities are funded by the European Commission, France's top research school ENS, the UK's AI Security Institute, as well as european and british philanthropic organizations, and individual donors."
1103,EPSRC,Michael Osborne,"",Mike has attracted £18.8M of research funding.
1104,EPSRC,University of Cambridge,"","EPSRC Reference: EP/T005637/1 Title: Machine Learning for Tomorrow: Efficient, Flexible, Robust and Automated Principal Investigator: Turner, Dr RE Other Investigators: Hernandez Lobato, Dr J Department: Engineering Organisation: University of Cambridge Starts: 01 February 2020 Ends: 31 January 2025"
1105,EU Commission,TSMC,5500000000.00,"Taiwan's TSMC(2330.TW), opens new tab on Tuesday launched a major new computer chip plant in Dresden, Germany, expected to be a key supplier to European industry and carmakers after the EU Commission approved 5 billion euros ($5.5 billion) worth of state aid."
1106,Ebay,Thomas Umberg,1500.00,"Ebay | Ebay | Thomas Umberg | Candidate Donations | Nov 3, 2020 | $1,500"
1107,Ed Markey,antitrafficking group,3600.00,"Senator Edward J. Markey, who received $3,600 in campaign donations from New England Patriots owner Robert Kraft, intends to donate that money to an organization focused on ending human trafficking after Kraft was charged with soliciting prostitution at an Asian spa in Florida."
1108,Eddie Rispone,Bill Cassidy,27400.00,"Eddie Rispone Louisiana businessman, 2019 Republican gubernatorial candidate • 13 contributions · 27,400 USD (Jun 10 '08→Apr 20 '18)"
1109,Edward Fein Charitable Trust,"University of California, San Francisco",100000000.00,"UC San Francisco today announced a $100 million gift to its renowned Memory and Aging Center(MAC). It is the first gift to name a UCSF division, which will now be the Edward and Pearl Fein Memory and Aging Center."
1110,Effective Altruism Foundation,Center on Long-Term Risk,"","CLR was initially founded as a project of the Swiss charity Effective Altruism Foundation(EAF). At the end of 2021, our operations were transferred to our present independent UK charity."
1111,Effective Altruism Funds,Association for Long Term Existence and Resilience (ALTER),150000.00,"over $150,000 from Effective Altruism Funds"
1112,Effective Altruism Funds,Effective Institutions Project,45000.00,"As of July 2022, Effective Institutions Project has received over $45,000 in grants from Effective Altruism Funds."
1113,Effective Altruism Funds,Effective Thesis,250000.00,"Effective Thesis has received nearly $250,000 in funding from Effective Altruism Funds, and $15,000 from the Survival and Flourishing Fund."
1114,Effective Altruism Funds,Ought,60000.00,"$60,000 from Effective Altruism Funds"
1115,Effective Altruism Infrastructure Fund,Effective Thesis,"","Effective Thesis has received funding from the Effective Altruism Infrastructure Fund, the Survival and Flourishing Fund, and some smaller donors."
1116,Effective Institutions Project,New Priorities Foundation,25000.00,"New Priorities Foundation | Ai Governance Research Project | 2024-12 | $25,000"
1117,Effective Institutions Project,SFF applicants,5000000.00,EIP anticipates recommending $5–15 million in grants to SFF applicants in 2025.
1118,Einstein Foundation Berlin,Technische Universität Berlin,1408000.00,"The Executive Board of the Einstein Foundation Berlin has approved a total of €9.6 million of new funding. €1.28 million will be going to three research projects in collaboration with the Hebrew University of Jerusalem (HUJI), two of which are based at TU Berlin."
1119,Elad Gil,Bluenote Health,10000000.00,"Bluenote Health raised $10,000,000/Series Unknown from Avichal Garg and 14 other investors"
1120,Elad Gil,Harvey,300000000.00,"Harvey raised $300,000,000/Series D from Coatue and 7 other investors"
1121,Elad Gil,Infisical,16000000.00,"Infisical's now raised a $16 million Series A, led by Elad Gil."
1122,Elad Gil,Pacific Fusion,900000000.00,"Pacific Fusion raised $900,000,000/Series A from Alumni Ventures and 16 other investors"
1123,Elevation Capital,Midjourney,"",Midjourney has 6 investors. Elevation Capital invested in Midjourney's Other Investors funding round.
1124,Elizabeth Kelly,Glenn Youngkin for Governor,500.00,Contribution(s) Totaling $500 ... $500 Youngkin for Governor - Glenn
1125,Elks Foundation,Duy Nguyen,"","I graduated from David Douglas High School and currently learning Computer Science at Stanford University with the support of Jack Kent Cooke Foundation, Seattle Foundation and Elks Foundation."
1126,Elon Musk,America PAC,75000000.00,"Musk, estimated to be the world's richest person, was the sole donor to the political action committee he created, America PAC, a group that spent about $72 million to support Donald Trump's reelection bid between July and September, according to a new quarterly filing with the Federal Election Comm"
1127,Elon Musk,Donald Trump campaign,200000000.00,"Elon Musk's super PAC spent about $200 million to help elect Donald Trump, according to a person familiar with the group's spending."
1128,Emergent Ventures,Marius Hobbhahn,"",Emergent Ventures (2022): Award Grantee. 15 awardees per cohort; Grant for AI safety research
1129,Emergent Ventures,Sam Bowman,"","Bowman is a previous recipient of an award from Emergent Ventures, a Mercatus grant program for social entrepreneurs with highly scalable ideas for meaningfully improving society. The magazine was created with support from a 2019 Emergent Ventures grant"
1130,Emerson Collective,Francine Spang-Willis,125000.00,"Each member of this fifth cohort of fellows will receive $125,000 from the collective and does not need to report back about how they spend those funds."
1131,Emerson Collective,Gimlet Media,"","Earlier this year, two other investments, podcaster Gimlet Media and phone repair company iCracked, sold to larger companies"
1132,Emerson Collective,Pinterest Inc.,"","Since 2014, Emerson has backed more than 30 startups, according to research firm PitchBook, investing in a range of novel companies making everything from floating data centers to supersonic aircraft. Its portfolio even includes digital bulletin board site Pinterest Inc."
1133,Emerson Collective,Pop-Up Magazine,"",Acquired Pop-Up Magazine (2018-11-27)
1134,Emerson Collective,"Pop-Up Magazine Productions, Inc.","","Acquired Pop-Up Magazine Productions, Inc. (2018-12-01)"
1135,Emerson Collective,The Atlantic,"",Acquired The Atlantic (2017-07-28)
1136,Emerson Collective,"The Atlantic Monthly Group, LLC","","Acquired The Atlantic Monthly Group, LLC (2017-07-01)"
1137,Emerson Collective,Udacity,"","with Scottish investment firm Baillie Gifford, Emerson Collective - a charitable organization run by Steve Jobs' widow Laurene Powell Jobs - and Google Ventures joining as new investors."
1138,Emerson Collective,iCracked,"","Earlier this year, two other investments, podcaster Gimlet Media and phone repair company iCracked, sold to larger companies"
1139,Emily's List,Catherine Cortez Masto,536883.00,"Emily's List $536,883"
1140,Emmett Shear,Blueprint,60000000.00,10/28/2025 Series A Blueprint $60M Yes
1141,Emmett Shear,Created by Humans,5500000.00,1/28/2025 Seed VC Created by Humans $5.5M Yes
1142,Emmett Shear,Fathom (YC W21),"","Angel Investor 2021- 2021 Fathom records, transcribes, and summarizes meetings for enhanced productivity."
1143,Emmett Shear,Lemon Slice,10500000.00,"Their latest investment was in Lemon Slice as part of their Seed VC - II on December 23, 2025."
1144,Emory University,AI.Humanity Seed Grant Program recipients,100000.00,"Emory University and Georgia Institute of Technology have announced the inaugural recipients of the $100,000 seed funding as part of their collaborative AI.Humanity Seed Grant Program."
1145,Empire State Development,Empire AI,40000000.00,"Governor Kathy Hochul today announced that the Empire State Development (ESD) Board approved $40 million to launch Empire AI Beta, the second phase of the supercomputer powering New York's nation-leading Empire AI initiative."
1146,EnBW AG,Munich Security Conference Foundation,"","Neben der Bundesregierung haben unter anderem die Bayerische Staatsregierung, die Robert Bosch Stiftung und die EnBW AG bereits zugestiftet."
1147,Enhanced Healthcare Partners,Janus,"",Enhanced Healthcare Partners invested in Janus's Series B funding round.
1148,Eni,Maria Basso,"","la giovane ricercatrice Maria Basso, 28 anni, del Dipartimento di Ingegneria industriale dell'Università di Padova, è stata accolta al Quirinale per ricevere dal presidente Mattarella il premio ""Young Researcher of the Year"", nell'ambito dell'Eni Award."
1149,Eni,Radical AI,"","The company announced a $55 million Series Seed+ funding round led by RTX Ventures, with participation from NVentures (NVIDIA's VC arm), Noa, Infinite Capital, Eni, AlleyCorp, and others."
1150,Entergy Corp.,Valerie Foushee,1000.00,"Entergy Corp., a fossil fuel company, gave $1,000 to Foushee for Congress in July 2025."
1151,Enterprise,Mobileye,"","Enterprise, located in Clayton (United States), made their first investment in Mobileye on Jul 07, 2013 in its PE round."
1152,Enterprise Ireland,Meta,"","Enterprise Ireland, located in Dublin (Ireland), made their first investment in Meta on Jul 10, 2023 in its Seed round."
1153,Epstein Family Foundation,RAND Corporation,10000000.00,"The nonprofit RAND Corporation has launched the RAND Epstein Family Veterans Policy Research Institute to generate creative strategies and interventions to address issues facing veterans and military families. Supported by a $10 million gift from the Epstein Family Foundation, the institute will exa"
1154,Equitable Growth,Gabriel Unger,75000.00,"2022, The Price Effects of Market Power, $75,000"
1155,Equitable Growth,Ioana Marinescu,85000.00,"2021, Green Jobs or Lost Jobs? The Distributional Implications for US Workers in a Low Carbon Economy, $85,000"
1156,Eric Ries,Harmony Intelligence,"","The investment round was led by Airtree with participation from more than 30 strategic investors, including First Row Partners, Maxwell Capital, and Eric Ries (author of ""The Lean Startup"")."
